,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400
MRR,0.02246,0.02395,0.03636,0.14353,0.21678,0.24428,0.25894,0.27297,0.28082,0.28556,0.29011,0.29513,0.29801,0.30011,0.29916,0.30328,0.30457,0.30571,0.30688,0.3086,0.30914,0.31059,0.31169,0.31142,0.3113,0.31291,0.31321,0.31222,0.31464,0.31278,0.31507,0.31537,0.31606,0.31692,0.31716,0.31754,0.31786,0.31713,0.3186,0.31939
MRR_h,9e-05,0.00038,0.00253,0.01955,0.05815,0.08787,0.10394,0.11547,0.12322,0.12511,0.13093,0.13341,0.13534,0.13863,0.13895,0.14085,0.14124,0.14407,0.144,0.14562,0.14615,0.14637,0.14746,0.14794,0.14787,0.1502,0.15009,0.14953,0.15038,0.15046,0.15142,0.15184,0.15231,0.15373,0.15311,0.15323,0.15353,0.15301,0.15482,0.15493
MRR_t,0.04482,0.04752,0.07019,0.26752,0.37542,0.40068,0.41394,0.43046,0.43842,0.44602,0.44928,0.45685,0.46069,0.46159,0.45937,0.46571,0.4679,0.46736,0.46976,0.47158,0.47213,0.47482,0.47592,0.4749,0.47472,0.47561,0.47632,0.47492,0.4789,0.4751,0.47873,0.4789,0.47982,0.48011,0.4812,0.48186,0.4822,0.48126,0.48238,0.48384
H@1,0.00922,0.00952,0.01539,0.09851,0.15674,0.17609,0.18644,0.19904,0.20679,0.21302,0.21657,0.22296,0.22673,0.22786,0.22836,0.23224,0.23351,0.23576,0.23659,0.23858,0.23919,0.24052,0.24293,0.24149,0.24143,0.24279,0.24356,0.24276,0.24581,0.24331,0.24639,0.24628,0.24797,0.24841,0.24868,0.24943,0.24913,0.2488,0.25071,0.25107
H@1_h,0.0,0.0,0.00066,0.00554,0.02475,0.04469,0.05488,0.0639,0.07143,0.07293,0.07808,0.07941,0.08317,0.08605,0.08766,0.08871,0.08926,0.09308,0.0922,0.09319,0.0948,0.09425,0.09663,0.09591,0.09652,0.09857,0.09912,0.09857,0.09973,0.09923,0.1015,0.10089,0.10189,0.10316,0.10272,0.10261,0.1025,0.10211,0.10399,0.10444
H@1_t,0.01844,0.01905,0.03012,0.19148,0.28872,0.30749,0.31801,0.33418,0.34216,0.35312,0.35506,0.36652,0.37029,0.36968,0.36907,0.37577,0.37776,0.37843,0.38097,0.38396,0.38358,0.38679,0.38922,0.38706,0.38634,0.38701,0.38801,0.38695,0.39188,0.3874,0.39127,0.39166,0.39404,0.39365,0.39465,0.39626,0.39576,0.39548,0.39742,0.3977
H@3,0.02007,0.02063,0.03289,0.15541,0.23661,0.26934,0.28958,0.30622,0.3143,0.31907,0.32554,0.3284,0.33072,0.33363,0.331,0.33587,0.33792,0.33654,0.3395,0.34193,0.34174,0.34241,0.34268,0.34293,0.3429,0.34537,0.34504,0.34481,0.34612,0.34479,0.34559,0.34711,0.3457,0.34786,0.34814,0.34855,0.34913,0.348,0.34919,0.34875
H@3_h,0.0,6e-05,0.0015,0.01617,0.05787,0.09148,0.11529,0.12708,0.13605,0.13943,0.14674,0.14929,0.14907,0.15361,0.15073,0.15449,0.15488,0.15532,0.15776,0.1602,0.15881,0.15898,0.15859,0.16075,0.15926,0.16385,0.16241,0.16197,0.16241,0.16346,0.16125,0.16335,0.16319,0.16424,0.16429,0.16546,0.16535,0.16551,0.16629,0.16435
H@3_t,0.04015,0.0412,0.06429,0.29465,0.41536,0.4472,0.46387,0.48535,0.49255,0.4987,0.50435,0.5075,0.51238,0.51365,0.51127,0.51725,0.52096,0.51775,0.52124,0.52367,0.52467,0.52583,0.52677,0.52511,0.52655,0.52688,0.52766,0.52766,0.52982,0.52611,0.52993,0.53087,0.52821,0.53148,0.53198,0.53165,0.53292,0.53048,0.53209,0.53314
H@5,0.02915,0.02954,0.04704,0.18453,0.27554,0.31331,0.33493,0.35199,0.35913,0.36237,0.36893,0.3725,0.37358,0.37605,0.37391,0.37856,0.37987,0.3794,0.38095,0.38291,0.38233,0.38468,0.38446,0.38416,0.38405,0.38612,0.38596,0.38526,0.3869,0.38413,0.38654,0.38745,0.38657,0.38903,0.38837,0.38773,0.38873,0.38767,0.38972,0.39066
H@5_h,0.0,0.00017,0.00221,0.0247,0.08157,0.12204,0.14536,0.16247,0.17039,0.17138,0.17963,0.1839,0.18412,0.18633,0.18523,0.18966,0.18905,0.19004,0.19027,0.19375,0.19254,0.19447,0.19392,0.19447,0.19342,0.19597,0.19497,0.19475,0.19542,0.19481,0.19536,0.19785,0.19608,0.20123,0.1994,0.19802,0.19951,0.19763,0.20101,0.20001
H@5_t,0.05831,0.05892,0.09187,0.34437,0.46952,0.50457,0.5245,0.5415,0.54787,0.55335,0.55823,0.56111,0.56304,0.56576,0.5626,0.56747,0.57068,0.56875,0.57163,0.57207,0.57212,0.57489,0.575,0.57384,0.57467,0.57628,0.57694,0.57578,0.57838,0.57345,0.57772,0.57705,0.57705,0.57683,0.57733,0.57744,0.57794,0.57772,0.57844,0.58132
H@10,0.04505,0.0479,0.07797,0.22714,0.33061,0.37566,0.3975,0.41193,0.41805,0.42134,0.42552,0.42801,0.42857,0.43314,0.43001,0.43413,0.43435,0.4351,0.43621,0.43748,0.43657,0.43939,0.43743,0.44089,0.43931,0.44064,0.44092,0.43865,0.44097,0.43889,0.44274,0.44191,0.44153,0.44202,0.44186,0.44208,0.44388,0.44274,0.44363,0.44587
H@10_h,0.0,0.00033,0.00399,0.04109,0.12088,0.17216,0.1973,0.21546,0.22233,0.22548,0.23058,0.23578,0.23324,0.23689,0.23479,0.23933,0.23894,0.24071,0.2416,0.24525,0.24348,0.24558,0.2432,0.24774,0.2463,0.24719,0.24758,0.24514,0.24791,0.24547,0.24885,0.24935,0.24863,0.24957,0.24852,0.25024,0.25129,0.25118,0.25012,0.25317
H@10_t,0.09009,0.09546,0.15195,0.4132,0.54034,0.57916,0.59771,0.60839,0.61377,0.6172,0.62047,0.62024,0.6239,0.62938,0.62523,0.62894,0.62977,0.62949,0.63082,0.62971,0.62966,0.6332,0.63165,0.63403,0.63232,0.63409,0.63425,0.63215,0.63403,0.63232,0.63664,0.63448,0.63442,0.63448,0.6352,0.63392,0.63647,0.63431,0.63713,0.63857
CWA_Sem@1,46.918434021817376,69.04590508887536,84.79428539786257,91.74096018605681,98.07021429758015,98.56027465529652,98.48551968547538,98.24464256049615,98.39138379755246,98.37754028462263,98.44398914668587,98.56858076305443,98.5879616811562,98.59626778891412,98.53258762943685,98.63502962511767,98.6488731380475,98.53535633202281,98.54919984495265,98.67102275873526,98.54919984495265,98.54643114236669,98.62949221994573,98.66271665097736,98.6156487070159,98.61841740960186,98.76515864665816,98.66548535356333,98.74300902597042,98.67932886649317,98.75131513372833,98.74300902597044,98.78453956475997,98.86483193975303,98.82330140096352,98.80115178027577,98.77623345700205,98.81222659061964,98.76515864665816,98.9035937759566
