,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400
MRR,0.02035,0.02025,0.01857,0.01767,0.02159,0.02631,0.04933,0.10486,0.21804,0.34068,0.39506,0.414,0.42321,0.43884,0.44309,0.44556,0.45227,0.45575,0.45345,0.45901,0.45943,0.45952,0.46004,0.46096,0.46246,0.46381,0.46129,0.46129,0.46432,0.46609,0.46705,0.46773,0.46739,0.46746,0.46856,0.46815,0.46831,0.46781,0.46866,0.46849
MRR_h,0.01307,0.01466,0.01521,0.01312,0.01421,0.01805,0.03411,0.08193,0.19773,0.32186,0.37325,0.39698,0.40071,0.41579,0.4204,0.42458,0.43231,0.43491,0.4315,0.43783,0.43907,0.43756,0.43805,0.43953,0.4403,0.44333,0.43922,0.4407,0.44238,0.44486,0.44654,0.44721,0.44691,0.4463,0.44699,0.44522,0.448,0.44662,0.44742,0.4468
MRR_t,0.02763,0.02583,0.02194,0.02221,0.02897,0.03456,0.06455,0.12779,0.23836,0.35949,0.41687,0.43101,0.44571,0.46189,0.46577,0.46653,0.47222,0.47658,0.4754,0.48019,0.47979,0.48148,0.48203,0.48238,0.48461,0.4843,0.48336,0.48187,0.48626,0.48732,0.48756,0.48826,0.48787,0.48862,0.49014,0.49107,0.48861,0.489,0.48991,0.49018
H@1,0.01252,0.00989,0.00775,0.00791,0.01088,0.01368,0.03032,0.06658,0.15821,0.27686,0.33949,0.36206,0.37343,0.39815,0.40359,0.40738,0.41513,0.42024,0.41678,0.4237,0.42469,0.42469,0.42469,0.42568,0.42798,0.43029,0.42601,0.42749,0.43144,0.43276,0.43276,0.43408,0.43375,0.43392,0.43457,0.4349,0.43474,0.43342,0.4349,0.43507
H@1_h,0.00956,0.00956,0.00956,0.00692,0.00824,0.01088,0.02011,0.04878,0.14107,0.26005,0.32004,0.34871,0.35168,0.37607,0.38069,0.38761,0.39717,0.3998,0.39453,0.40244,0.40508,0.40343,0.40211,0.40541,0.40475,0.41002,0.40376,0.40771,0.40936,0.412,0.41397,0.41397,0.41365,0.41332,0.41266,0.41266,0.41529,0.412,0.4143,0.41365
H@1_t,0.01549,0.01022,0.00593,0.0089,0.01351,0.01648,0.04054,0.08438,0.17535,0.29367,0.35893,0.37541,0.39519,0.42024,0.4265,0.42716,0.43309,0.44067,0.43902,0.44496,0.4443,0.44595,0.44726,0.44595,0.45122,0.45056,0.44825,0.44726,0.45353,0.45353,0.45155,0.45419,0.45386,0.45452,0.45649,0.45715,0.45419,0.45485,0.4555,0.45649
H@3,0.01862,0.01961,0.01763,0.01582,0.01994,0.02686,0.05076,0.11124,0.24357,0.3731,0.42765,0.44677,0.45122,0.45649,0.45765,0.45962,0.46473,0.46704,0.46572,0.47198,0.47281,0.4705,0.4733,0.4738,0.47561,0.47347,0.47429,0.47314,0.47363,0.47643,0.48006,0.48006,0.47874,0.47808,0.47989,0.48055,0.47874,0.47924,0.48138,0.47907
H@3_h,0.01285,0.01417,0.0145,0.01351,0.01318,0.0178,0.03197,0.08174,0.22116,0.35564,0.40574,0.42683,0.42782,0.43309,0.43441,0.43837,0.44364,0.44693,0.44463,0.45221,0.45287,0.44792,0.45386,0.45188,0.45517,0.45353,0.45188,0.45155,0.45353,0.45485,0.45946,0.46012,0.45781,0.45715,0.46012,0.45649,0.45847,0.46144,0.46177,0.45682
H@3_t,0.02439,0.02505,0.02076,0.01813,0.0267,0.03593,0.06955,0.14074,0.26599,0.39057,0.44957,0.46671,0.47462,0.47989,0.48088,0.48088,0.48583,0.48715,0.48682,0.49176,0.49275,0.49308,0.49275,0.49572,0.49604,0.49341,0.4967,0.49473,0.49374,0.49802,0.50066,0.5,0.49967,0.49901,0.49967,0.50461,0.49901,0.49703,0.50099,0.50132
